hand_num,player,stage,action,winner
0,GTO,preflop,fold,LLM
0,Random,preflop,call,LLM
0,Random,flop,raise,LLM
0,LLM,flop,check,LLM
0,Random,turn,fold,LLM
1,GTO,preflop,fold,LLM
1,Random,preflop,fold,LLM
2,GTO,preflop,fold,Random
2,Random,preflop,raise,Random
2,LLM,preflop,fold,Random
3,GTO,preflop,fold,LLM
3,Random,preflop,call,LLM
3,Random,flop,fold,LLM
4,GTO,preflop,fold,LLM
4,Random,preflop,call,LLM
4,Random,flop,fold,LLM
5,GTO,preflop,fold,LLM
5,Random,preflop,fold,LLM
6,GTO,preflop,fold,LLM
6,Random,preflop,call,LLM
6,Random,flop,raise,LLM
6,LLM,flop,check,LLM
6,Random,turn,call,LLM
6,LLM,turn,check,LLM
6,Random,river,fold,LLM
7,GTO,preflop,fold,LLM
7,Random,preflop,fold,LLM
8,GTO,preflop,fold,Random
8,Random,preflop,raise,Random
8,LLM,preflop,fold,Random
9,GTO,preflop,fold,Random
9,Random,preflop,raise,Random
9,LLM,preflop,fold,Random
10,GTO,preflop,fold,Random
10,Random,preflop,raise,Random
10,LLM,preflop,fold,Random
11,GTO,preflop,fold,Random
11,Random,preflop,raise,Random
11,LLM,preflop,fold,Random
12,GTO,preflop,call,GTO
12,Random,preflop,raise,GTO
12,LLM,preflop,raise,GTO
12,GTO,preflop,call,GTO
12,GTO,flop,check,GTO
12,Random,flop,fold,GTO
12,LLM,flop,check,GTO
12,GTO,turn,check,GTO
12,LLM,turn,check,GTO
12,GTO,river,check,GTO
12,LLM,river,check,GTO
13,GTO,preflop,fold,LLM
13,Random,preflop,raise,LLM
13,LLM,preflop,raise,LLM
13,Random,preflop,fold,LLM
14,GTO,preflop,call,GTO
14,Random,preflop,fold,GTO
14,LLM,preflop,call,GTO
14,GTO,flop,check,GTO
14,LLM,flop,check,GTO
14,GTO,turn,check,GTO
14,LLM,turn,check,GTO
14,GTO,river,check,GTO
14,LLM,river,check,GTO
15,GTO,preflop,fold,LLM
15,Random,preflop,call,LLM
15,Random,flop,raise,LLM
15,LLM,flop,check,LLM
15,Random,turn,call,LLM
15,LLM,turn,check,LLM
15,Random,river,raise,LLM
